config,sched,seed,n_active,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
P055,SUS+CQI@0.70,30000,23,3809.1,114.83,111.23,0.5481,0.4482,3.994
P055,SU+CQI,30000,23,-2002.9,90.64,88.93,0.4396,0.5563,1.0
P055,PPO,30000,23,4462.2,115.81,114.3,0.5641,0.4323,2.597
P055,SUS+CQI@0.70,30001,19,2420.9,92.31,87.37,0.5289,0.4675,3.988
P055,SU+CQI,30001,19,-335.1,79.39,77.66,0.4707,0.5252,1.0
P055,PPO,30001,19,3415.1,93.86,92.13,0.5576,0.439,2.625
P055,SUS+CQI@0.70,30002,32,-3527.3,126.54,118.19,0.4229,0.573,4.0
P055,SU+CQI,30002,32,-13329.4,85.07,82.79,0.2951,0.7001,1.0
P055,PPO,30002,32,-3785.3,121.17,116.54,0.4221,0.5734,3.855
P055,SUS+CQI@0.70,30003,21,-2900.1,82.08,75.6,0.4102,0.5861,3.998
P055,SU+CQI,30003,21,-5871.7,67.67,65.82,0.3551,0.6408,1.0
P055,PPO,30003,21,-2364.8,80.8,78.69,0.4288,0.5675,2.554
P055,SUS+CQI@0.70,30004,18,2876.7,90.54,85.19,0.5379,0.4582,3.982
P055,SU+CQI,30004,18,-1741.8,71.15,68.36,0.4303,0.5651,1.0
P055,PPO,30004,18,2620.9,87.57,84.08,0.5337,0.4619,3.422
P055,SUS+CQI@0.70,30005,24,2179.3,113.72,107.51,0.5095,0.4865,3.981
P055,SU+CQI,30005,24,-4603.6,85.19,82.59,0.3914,0.6041,1.0
P055,PPO,30005,24,2269.1,111.27,107.88,0.5144,0.4815,3.677
P055,SUS+CQI@0.70,30006,28,-947.5,119.28,110.98,0.4543,0.5411,4.0
P055,SU+CQI,30006,28,-9174.7,83.93,81.45,0.3327,0.6622,1.0
P055,PPO,30006,28,-1468.3,113.41,107.98,0.4485,0.5465,3.896
P055,SUS+CQI@0.70,30007,19,5061.2,102.4,98.4,0.591,0.4063,3.922
P055,SU+CQI,30007,19,-54.1,81.49,79.48,0.4757,0.5209,1.0
P055,PPO,30007,19,5709.5,102.97,101.58,0.6102,0.3871,3.02
P055,SUS+CQI@0.70,30008,19,4133.1,101.27,93.31,0.5618,0.4352,3.992
P055,SU+CQI,30008,19,-531.6,79.85,77.8,0.4648,0.5318,1.0
P055,PPO,30008,19,4611.3,99.62,95.7,0.5796,0.4172,3.656
P055,SUS+CQI@0.70,30009,16,7465.8,99.19,93.46,0.6758,0.3216,3.969
P055,SU+CQI,30009,16,4493.6,85.37,83.43,0.6007,0.3962,1.0
P055,PPO,30009,16,8349.3,99.86,97.95,0.7091,0.2885,3.071
P055,SUS+CQI@0.70,30010,18,256.5,80.21,74.64,0.4762,0.5198,3.997
P055,SU+CQI,30010,18,-1691.8,70.69,68.28,0.4349,0.561,1.0
P055,PPO,30010,18,1165.1,81.19,78.93,0.5053,0.4908,2.711
P055,SUS+CQI@0.70,30011,30,-436.1,128.68,122.28,0.4668,0.5297,4.0
P055,SU+CQI,30011,30,-8911.1,93.05,90.96,0.3477,0.6482,1.0
P055,PPO,30011,30,28.3,127.74,124.42,0.477,0.5195,3.391
P055,SUS+CQI@0.70,30012,17,1635.4,81.38,76.37,0.514,0.4838,3.993
P055,SU+CQI,30012,17,274.9,74.46,72.23,0.484,0.5139,1.0
P055,PPO,30012,17,2688.1,83.03,81.25,0.5486,0.4496,2.456
P055,SUS+CQI@0.70,30013,32,-309.8,138.03,131.24,0.4676,0.528,4.0
P055,SU+CQI,30013,32,-11293.9,92.32,90.37,0.3227,0.6723,1.0
P055,PPO,30013,32,324.6,137.34,134.36,0.4798,0.5156,3.626
P055,SUS+CQI@0.70,30014,16,-4368.8,52.84,48.42,0.3523,0.6421,3.966
P055,SU+CQI,30014,16,-3175.3,55.83,53.97,0.3904,0.6047,1.0
P055,PPO,30014,16,-2666.6,57.6,56.03,0.4048,0.5901,1.912
P055,SUS+CQI@0.70,30015,30,589.1,131.43,125.66,0.4838,0.5125,4.0
P055,SU+CQI,30015,30,-10278.5,86.96,84.72,0.3277,0.6679,1.0
P055,PPO,30015,30,905.3,129.99,126.98,0.4911,0.5055,3.59
P055,SUS+CQI@0.70,30016,24,3848.9,118.46,112.89,0.5432,0.4523,3.946
P055,SU+CQI,30016,24,-4103.3,86.1,84.03,0.4014,0.5931,1.0
P055,PPO,30016,24,4312.6,117.54,114.52,0.5545,0.4407,3.868
P055,SUS+CQI@0.70,30017,26,-1227.7,109.59,102.82,0.4507,0.5452,4.0
P055,SU+CQI,30017,26,-8361.8,79.57,77.2,0.337,0.6585,1.0
P055,PPO,30017,26,-1080.2,106.93,103.41,0.4569,0.539,3.384
P055,SUS+CQI@0.70,30018,24,-204.1,104.29,98.46,0.4681,0.5277,3.998
P055,SU+CQI,30018,24,-6472.3,77.6,75.67,0.3587,0.6367,1.0
P055,PPO,30018,24,324.5,103.25,100.9,0.4824,0.5133,3.443
P055,SUS+CQI@0.70,30019,28,-2680.8,112.48,104.31,0.4277,0.568,4.0
P055,SU+CQI,30019,28,-10753.5,77.77,74.36,0.3069,0.6878,1.0
P055,PPO,30019,28,-3561.6,105.76,99.61,0.4152,0.5803,3.957
P055,SUS+CQI@0.70,30020,30,1534.5,136.05,130.25,0.4962,0.5002,4.0
P055,SU+CQI,30020,30,-8340.4,95.64,93.64,0.3563,0.6396,1.0
P055,PPO,30020,30,1810.6,134.46,131.36,0.5024,0.4938,3.598
P055,SUS+CQI@0.70,30021,21,5797.6,112.99,108.77,0.5961,0.4004,3.981
P055,SU+CQI,30021,21,942.7,92.4,91.0,0.4984,0.4977,1.0
P055,PPO,30021,21,6469.9,113.89,112.08,0.6142,0.3822,3.021
P055,SUS+CQI@0.70,30022,20,3216.6,99.34,94.18,0.5422,0.4545,3.969
P055,SU+CQI,30022,20,-1832.1,78.59,76.07,0.4353,0.5604,1.0
P055,PPO,30022,20,3714.7,98.93,96.53,0.5576,0.4389,3.336
P055,SUS+CQI@0.70,30023,28,2238.2,131.17,123.13,0.5068,0.4898,3.993
P055,SU+CQI,30023,28,-7000.3,92.31,90.17,0.3689,0.6271,1.0
P055,PPO,30023,28,2380.1,128.18,123.73,0.5132,0.4834,3.682
P055,SUS+CQI@0.70,30024,19,1499.1,90.88,83.76,0.5034,0.4932,3.998
P055,SU+CQI,30024,19,-945.2,78.05,76.15,0.456,0.5401,1.0
P055,PPO,30024,19,2385.3,90.71,88.03,0.532,0.4645,2.739
P055,SUS+CQI@0.70,30025,22,8125.9,129.82,121.87,0.629,0.3679,3.998
P055,SU+CQI,30025,22,422.3,96.53,94.17,0.486,0.5103,1.0
P055,PPO,30025,22,8738.3,129.02,124.94,0.6469,0.35,3.675
P055,SUS+CQI@0.70,30026,27,1784.8,124.89,117.37,0.4997,0.496,4.0
P055,SU+CQI,30026,27,-5901.0,92.44,89.82,0.38,0.6153,1.0
P055,PPO,30026,27,2373.0,124.05,119.97,0.5133,0.4824,3.656
P055,SUS+CQI@0.70,30027,22,5321.0,117.26,111.85,0.5774,0.4197,3.998
P055,SU+CQI,30027,22,-1216.6,89.73,87.54,0.4531,0.5433,1.0
P055,PPO,30027,22,5862.3,116.9,113.96,0.5919,0.4051,3.061
P055,SUS+CQI@0.70,30028,16,8916.6,105.09,98.1,0.7127,0.2843,3.962
P055,SU+CQI,30028,16,5162.7,88.06,85.52,0.619,0.3781,1.0
P055,PPO,30028,16,9824.4,105.48,102.52,0.7472,0.2503,3.412
P055,SUS+CQI@0.70,30029,18,2516.8,90.39,82.75,0.5275,0.469,3.994
P055,SU+CQI,30029,18,518.6,79.58,77.23,0.489,0.5073,1.0
P055,PPO,30029,18,3542.6,90.81,87.9,0.5623,0.4345,2.892
P055,SUS+CQI@0.70,30030,30,829.5,135.34,128.05,0.484,0.5124,4.0
P055,SU+CQI,30030,30,-8074.6,97.41,95.5,0.3602,0.6354,1.0
P055,PPO,30030,30,1632.6,135.25,132.01,0.5,0.4965,3.196
P055,SUS+CQI@0.70,30031,21,-1037.8,88.52,81.68,0.4473,0.5487,3.997
P055,SU+CQI,30031,21,-3553.8,75.83,73.16,0.4008,0.5952,1.0
P055,PPO,30031,21,-113.6,88.69,86.27,0.4742,0.522,2.879
P055,SUS+CQI@0.70,30032,31,-913.0,133.14,122.81,0.4558,0.5407,4.0
P055,SU+CQI,30032,31,-9036.9,96.76,94.5,0.3493,0.6469,1.0
P055,PPO,30032,31,-3.2,131.97,126.35,0.4738,0.5225,3.718
P055,SUS+CQI@0.70,30033,23,4587.6,120.22,111.1,0.5552,0.4418,3.998
P055,SU+CQI,30033,23,-1608.4,92.44,89.26,0.4465,0.55,1.0
P055,PPO,30033,23,5446.7,119.26,115.24,0.5792,0.4175,3.522
P055,SUS+CQI@0.70,30034,30,2004.4,139.68,132.71,0.5016,0.4943,3.987
P055,SU+CQI,30034,30,-8408.0,95.81,94.3,0.3551,0.6398,1.0
P055,PPO,30034,30,2711.9,139.05,136.17,0.5168,0.4793,3.357
P055,SUS+CQI@0.70,30035,21,4804.3,109.6,104.69,0.5744,0.4223,3.984
P055,SU+CQI,30035,21,156.9,89.82,87.65,0.4806,0.5156,1.0
P055,PPO,30035,21,6098.4,112.3,110.72,0.6073,0.3896,2.836
P055,SUS+CQI@0.70,30036,20,2858.1,96.33,92.22,0.5375,0.459,3.983
P055,SU+CQI,30036,20,-581.2,81.86,79.44,0.4627,0.5331,1.0
